to adore,uwielbiać
to agree,zgadzać się
to appear,pojawiać się
to apply,mieć zastosowanie
to astonish,zadziwiać
to be,być
to believe,wierzyć
to belong to,należeć do
to concern,dotyczyć
to consist of,składać się z
to contain,zawierać
to cost,kosztować
to depend on,zależeć od
to deserve,zasługiwac
to desire,życzyć sobie
to detest,nie cierpieć
to dislike,nie lubić
to doubt,wątpić
to equal,równać się
to feel,czuć / sądzić
to fit,pasować
to forget,zapominać
to forgive,wybaczać
to guess,sądzić
to hate,nienawidzić
to have,mieć / posiadać
to hear,słyszeć
to hope,mieć nadzieję
to imagine,wyobrażać sobie
to impress,wywierać wrażenie
to include,zawierać / obejmować
to intend,zamierzać
to involve,pociągać za sobą
to know,wiedzieć / znać
to lack,odczuwać brak / nie mieć
to like,lubić
to love,kochać
to matter,znaczyć / odgrywać rolę
to mean,zamierzać / mieć na myśli
to measure,mieć pewien rozmiar
to mind,zważać na coś / przejmować się czymś
to need,potrzebować
to notice,zauważyć
to owe,być dłużnym / zawdzięczać
to own,posiadać / być właścicielem
to perceive,spostrzegać / uświadamiać sobie
to please,sprawiać przyjemność / dogadzać / cieszyć
to possess,posiadać
to prefer,woleć
to presuppose,zakładać z góry
to promise,obiecywać
to realize,uświadamiać sobie
to recall,przypominać sobie
to recognize,rozpoznawać
to regard,uważać / sądzić
to remain,pozostawać
to remember,pamiętać / przypominać sobie
to require,wymagać / żądać
to resemble,być podobnym
to satisfy,zaspokajać / zadowalać
to see,widzieć / rozumieć
to seem,wydawać się
to smell,mieć zapach
to sound,brzmieć
to suffice,wystarczyć / zadowolić
to suit,nadawać się / pasować
to suppose,przypuszczać / zakładać
to surprise,zaskakiwać / dziwić
to take after,być podobnym
to taste,mieć smak
to tend,skłaniać się ku czemuś
to think,sądzić / uważać że
to understand,rozumieć / wnioskować
to want,chcieć
to weight,ważyć / mieć ciężar
to wish,życzyć sobie
