hold on,czekaj
to achieve,osiągać
to admit,przyznać
to admit,wpuszczać
to advertise,reklamować
to advertise,reklamować
to afford sth,pozwolić sobie na coś
to aim,celować
to allow,dopuszczać
to amaze,zadziwiać
to annoy,denerwować
to appear,zjawiać się
to apply,zastosować
to apply for loan,ubiegaź się o pozyczkę
to appoint,wyznaczyć
to approach,zbliżać się
to argue,kłócić się
to arrive,przybyć
to attract,pociągać
to bark,szczekać
to be afraid of,bać się
to be ashamed,wstydzić się
to be ashamed of sth,wstydzić się czegoś
to be worth,być wart
to beck,przyzwać kogoś / skinąć na kogoś (from beckon)
to behave,zachowywać się
to biol,gotować
to bite,gryźć
to borrow something from someone,pożyczać coś od kogoś
to bother,zawracać głowę
to boycott,bojkotować
to brake,hamować
to break the rules,złamać regulamin
to breathe,oddychać
to breed,rozmnażać/hodować
to calculate,obliczać
to capture,zdobyć / schwytać
to climb,wspinać się
to collect money,zbierać pieniądze
to comb,czesać
to come up with,wymyślać
to compete,rywalizować
to compete,rywalizować
to complain,narzekać / składać reklamację
to confirm,potwierdzać
to convince,przekonać
to convince,przekonać
to cry,płakać
to cut yourself,skaleczyć się
to daresay,"śmiem powiedzieć /  przypuszczać / sądzić że coś jest prawdopdoobne ""But I daresay that most of that I do is too"""
to deceive,oszukać
to decorate,dekorować
to defuse,rozbroić
to describe,opisywać
to detain,zatrzymać
to develop,rozwijać
to dig a hole,kopać dół
to disappear,zniknąć
to discard,odrzuć
to discard changes,odrzucać zmiany
to discuss,dyskutować
to disturb,przeszkadzać
to draw,rysować
to draw attention,przyciągać uwagę
to draw attention to,zwróć uwagę na
to drawl,"cedzenie / przeciąganie ""Speak in a slow, lazy way with prolonged vowel sounds""'Suits me fine' - he drawled"""
to earn,zarabiać
to eddy,"wirować ""the mists from the river eddied around the banks"""
to elate,podniecać
to equalize,wyrównać
to establish,ustalić
to exercise,świczyć
to expect,spodziewać się
to fabricate,zmyślać
to fall,spadać / padać / opadać
to feel,czuć
to find out,dowiedzieć się
to fire someone,zwolnić kogoś
to forestall,uprzedzać
to forget,zapomnieć
to fry,smażyć
to gain,zyskiwać
to get back,prywrócić
to get down,schodzić
to get down to,zabrać się do
to get down to business,Przejdźmy do rzeczy
to get down to work,zabrać się do pracy
to give,dawać
to give lessons,dawać lekcje
to go on sale,iść na sprzedaż
to gorge,pożerać/obżerać
to govern,rządzić
to greet,powitać
to hang up,odłożyć słuchawkę
to hate,nienawidzić
to hire,wynająć / zatrudniać
to hit,trafić
to hold,utrzymać
to honk,trąbić
to impose,narzucać
to improve,poprawić
to improve,poprawić
to incorporate,włączać / włączyć w sobie
to instil,zaszczepić
to invent,wynaleźć
to invite,zapraszać
to invite,zaprosić
to jerk,szarpać
to keep,trzymać
to kill,zabić
to last,trwać
to laugh,śmiać się
to left,wyjechać
to lend,wypożyczać
to lend something to someone,wypożyczać coś komuś
to lengthen,przedłużać / wydłużać (fizycznie)
to let,pozwalać
to let,pozwolić
to lie still,leżeć spokojnie
to lose,tracić
to lose,tracić
to make a decision,podjąć decyzji
to mean,oznaczać
to measure,mierzyć
to need,potrzebować
to occur,pojawiać się
to occur,wydarzyć się
to organize,organizować
to overtake,wyprzedzać
to owe,zawdzięczać
to paddle,osłować
to pave,brukować
to peel,obierać
to persuade,namawiać
to persuade oneself,przekonać kogoś
to pick,wybierać
to pick up,odebrać
to pinpoint,sprecyzować
to pinpoint the problem,wskazać problem
to poison,zatruć
to possess,posiadać
to postpone,odraczać
to preach,kazać
to preach,nauczać
to prefer,woleć
to pretend,udawać
to prohibit,zakazać
to prolong,przedłużać (w czasie)
to prove,dowodzić / dowieść
to prove,udowadniać
to publish,opublikować
to quit,porzucić
to rag on sb,naśmiewać się
to re-establish, przywrócić
to reach,dosięgać
to reach out,osiągnąć
to rebuild,odbudować
to recall,przypominać sobie
to receive,dostać / otrzymać
to recognise,rozpoznać
to redecorate,remontować
to refuse to, odrzucać / odmówić
to refuse to pay,odmówić zapłaty
to regret,żałować
to release,wypuszczać
to remain,pozostać
to remind yourself,przypominać sobie
to renovate,remontować
to rent,wynajmować
to require,wymagać
to resent something,urażony czymś
to rest,odpoczywać
to retreat,wycofać się
to return,wracać
to reveal,odsłonić
to rid,pozbyć się
to ring the door,dzwonić do drzwi
to ring you up,charge you at the cash register / to telephone someone
to rise,rosnąć / wstać
to rob,okradać
to sass,pyskować / odpyskować
to say,mówić (coś)
to scare,przestraszyć
to scratch,drapać
to seem,wydawać się
to seem,wydawać się
to sell,sprzedawać
to set,ustalać
to sew,szyć
to shapen,ostrzyć
to share,dzielić
to shoot,strzelać
to slip, ślizgać się / pośliznąć się
to solder,lutować
to spoil,zepsuć
to spy,szpiegować
to steal,kraść
to steal the scene,ukraść scenę
to steal the show,ukraść przedstawienie
to suffer,cierpieć
to syffocation,uduszenie
to take,zabierać
to take action,podjąć działanie
to tell,powiedzieć (komuś)
to tend,zmierzać
to tend,zmierzać
to thrive,prosperować
to thrown out,wyrzucone
to treat,leczyć
to unscrew,odkręci
to vest someone,"dać komuś udziały ""Give them equity/stock of the company over time"""
to walk through,przejść przez
