Francuski,Polski
bonjour,dzień dobry
salut,cześć
au revoir,do widzenia
merci,dziękuję
s'il vous plaît,proszę
oui,tak
non,nie
être,być
avoir,mieć
aller,iść / jechać
faire,robić
venir,przychodzić
voir,widzieć
dire,mówić
parler,rozmawiać
écouter,słuchać
lire,czytać
écrire,pisać
manger,jeść
boire,pić
dormir,spać
travailler,pracować
étudier,uczyć się
acheter,kupować
vendre,sprzedawać
maison,dom
appartement,mieszkanie
école,szkoła
livre,książka
chat,kot
chien,pies
eau,woda
pain,chleb
mot_34,słowo 34
mot_35,słowo 35
mot_36,słowo 36
mot_37,słowo 37
mot_38,słowo 38
mot_39,słowo 39
mot_40,słowo 40
mot_41,słowo 41
mot_42,słowo 42
mot_43,słowo 43
mot_44,słowo 44
mot_45,słowo 45
mot_46,słowo 46
mot_47,słowo 47
mot_48,słowo 48
mot_49,słowo 49
mot_50,słowo 50
mot_51,słowo 51
mot_52,słowo 52
mot_53,słowo 53
mot_54,słowo 54
mot_55,słowo 55
mot_56,słowo 56
mot_57,słowo 57
mot_58,słowo 58
mot_59,słowo 59
mot_60,słowo 60
mot_61,słowo 61
mot_62,słowo 62
mot_63,słowo 63
mot_64,słowo 64
mot_65,słowo 65
mot_66,słowo 66
mot_67,słowo 67
mot_68,słowo 68
mot_69,słowo 69
mot_70,słowo 70
mot_71,słowo 71
mot_72,słowo 72
mot_73,słowo 73
mot_74,słowo 74
mot_75,słowo 75
mot_76,słowo 76
mot_77,słowo 77
mot_78,słowo 78
mot_79,słowo 79
mot_80,słowo 80
mot_81,słowo 81
mot_82,słowo 82
mot_83,słowo 83
mot_84,słowo 84
mot_85,słowo 85
mot_86,słowo 86
mot_87,słowo 87
mot_88,słowo 88
mot_89,słowo 89
mot_90,słowo 90
mot_91,słowo 91
mot_92,słowo 92
mot_93,słowo 93
mot_94,słowo 94
mot_95,słowo 95
mot_96,słowo 96
mot_97,słowo 97
mot_98,słowo 98
mot_99,słowo 99
mot_100,słowo 100
mot_101,słowo 101
mot_102,słowo 102
mot_103,słowo 103
mot_104,słowo 104
mot_105,słowo 105
mot_106,słowo 106
mot_107,słowo 107
mot_108,słowo 108
mot_109,słowo 109
mot_110,słowo 110
mot_111,słowo 111
mot_112,słowo 112
mot_113,słowo 113
mot_114,słowo 114
mot_115,słowo 115
mot_116,słowo 116
mot_117,słowo 117
mot_118,słowo 118
mot_119,słowo 119
mot_120,słowo 120
mot_121,słowo 121
mot_122,słowo 122
mot_123,słowo 123
mot_124,słowo 124
mot_125,słowo 125
mot_126,słowo 126
mot_127,słowo 127
mot_128,słowo 128
mot_129,słowo 129
mot_130,słowo 130
mot_131,słowo 131
mot_132,słowo 132
mot_133,słowo 133
mot_134,słowo 134
mot_135,słowo 135
mot_136,słowo 136
mot_137,słowo 137
mot_138,słowo 138
mot_139,słowo 139
mot_140,słowo 140
mot_141,słowo 141
mot_142,słowo 142
mot_143,słowo 143
mot_144,słowo 144
mot_145,słowo 145
mot_146,słowo 146
mot_147,słowo 147
mot_148,słowo 148
mot_149,słowo 149
mot_150,słowo 150
mot_151,słowo 151
mot_152,słowo 152
mot_153,słowo 153
mot_154,słowo 154
mot_155,słowo 155
mot_156,słowo 156
mot_157,słowo 157
mot_158,słowo 158
mot_159,słowo 159
mot_160,słowo 160
mot_161,słowo 161
mot_162,słowo 162
mot_163,słowo 163
mot_164,słowo 164
mot_165,słowo 165
mot_166,słowo 166
mot_167,słowo 167
mot_168,słowo 168
mot_169,słowo 169
mot_170,słowo 170
mot_171,słowo 171
mot_172,słowo 172
mot_173,słowo 173
mot_174,słowo 174
mot_175,słowo 175
mot_176,słowo 176
mot_177,słowo 177
mot_178,słowo 178
mot_179,słowo 179
