a child - children,dziecko
a foot - feet,stopa
a goose - geese,gęś
a knife - knives,nóż
a man - men,mężczyzna
a mouse - mice,mysz
a person - people,osoba
a shelf - shelves,półka
a tooth - teeth,ząb
a wolf - wolves,wilk
a woman - women,kobieta
an addendum - addenda,dodatek
an alga - algae,alga
an alumnus - alumni,absolwent
an amoeba - amoebae,ameba
an analysis - analyses,analiza
an antenna - antenmae,antena
an apex - apices/apexes,wierzchołek
an appendix - appendices,dodatek
an automaton - autonata,automat
an axis - axes,oś
an ox - oxen,wół
