書く; かく; かきます| pisać
見る; みる; みます| patrzeć; widzieć
飲む; のむ; のみます| pić
分かる; わかる; わかります| rozumieć
有る; ある; あります| być
読む; よむ; よみます| czytać
行く; いく; いきます| iść
帰る; かえる; かえります| wracać
待つ; まつ; まちます| czekać
起きる; おきる; おきます| wstać; obudzić się
寝る; ねる; ねます| spać; kłaść się spać
働く; はたらく; はたらきます| pracować
休む; やすむ; やすみます| odpoczywać; nie pracować; mieć wolne
為る; する; します| robić
勉強 為る; べんきょう する; べんきょう します| uczyć się
終わる; おわる; おわります| kończyć się
来る; くる; きます| przychodzić

行く; いく; いきます| iść
来る; くる; きます| przychodzić
帰る; かえる; かえります| wracać

かく; かきます| pisać
みる; みます| patrzeć; widzieć
のむ; のみます| pić
わかる; わかります| rozumieć
ある; あります| być
よむ; よみます| czytać
いく; いきます| iść
かえる; かえります| wracać
まつ; まちます| czekać
おきる; おきます| wstać; obudzić się
ねる; ねます| spać; kłaść się spać
はたらく; はたらきます| pracować
やすむ; やすみます| odpoczywać; nie pracować; mieć wolne
する; します| robić
べんきょう する; べんきょう します| uczyć się
おわる; おわります| kończyć się
くる; きます| przychodzić

いく; いきます| iść
くる; きます| przychodzić
かえる; かえります| wracać

pisać| 書く; かく; かきます
patrzeć; widzieć| 見る; みる; みます
pić| 飲む; のむ; のみます
rozumieć| 分かる; わかる; わかります
być| 有る; ある; あります
czytać| 読む; よむ; よみます
iść| 行く; いく; いきます
wracać| 帰る; かえる; かえります
czekać| 待つ; まつ; まちます
wstać; obudzić się| 起きる; おきる; おきます
spać; kłaść się spać| 寝る; ねる; ねます
pracować| 働く; はたらく; はたらきます
odpoczywać; nie pracować; mieć wolne| 休む; やすむ; やすみます
robić| 為る; する; します
uczyć się| 勉強 為る; べんきょう する; べんきょう します
kończyć się| 終わる; おわる; おわります
przychodzić| 来る; くる; きます

iść| 行く; いく; いきます
przychodzić| 来る; くる; きます
wracać| 帰る; かえる; かえります
