あい, love; affection; care​
うえ, above; over; up​
いえ, house; residence; dwelling; home

あおい, blue; azure​
え, picture; drawing; painting; sketch​
いいえ, no

こけ, moss
えき, railway station; train station​
かう, to buy; to purchase​

こえ, voice
あかい, red; crimson; scarlet; vermilion
きく, to hear​

かい, seashell; shell​
あき, autumn; fall​
かく, to write; to compose; to pen​

あけ, red; vermilion; cinnabar; scarlet​
いけ, pond
くき, stalk; stem​

かさ, umbrella; parasol​
すし, sushi; range of dishes made with vinegared rice combined with fish, vegetables, egg, etc.
しお, salt; common salt; table salt; sodium chloride​

さけ, alcohol; sake​;; salmon
せき, seat;; cough; coughing; tussis​
あせ, sweat; perspiration​

いし, stone; rock; pebble​
すいすい, lightly and smoothly (of movements); swiftly; glidingly​
かいそう, marine plant; seagrass​;; seaweed

うそ, lie; fib; falsehood; untruth​
ささ, bamboo grass; generally smaller species of running bamboo that do not shed their sheaths
あし, foot; paw; arm (of an octopus, squid, etc.);; leg

いす, chair; seat; stool; bench​
さか, slope; incline; hill​
さい, occasion; time; circumstances; (in) case (of); when​

しき, the four seasons​
すき, liking; being fond of; to one's liking; to one's taste; preferred; favourite
さく, fence; paling; railing​

おげんき ですか, "Hai, genki desu."

きんちょう, tension; strain; nervousness; stress​

て, hand; arm​
いち, one; 1​
くち, mouth

とき, ime; hour; moment​
くつ, shoe; shoes; boots; footwear; footgear​
あした, tomorrow

しち, seven
おと, sound; noise​
たこ, octopus

かつ, to win; to gain victory​
とし, year
ちかてつ, subway; metro; underground (railway)​

たけ, bamboo
かたち, (physical) form; shape; figure​
たて, shield; buckler; escutcheon​

すてき, lovely; wonderful; charming; enchanting; nice; great; splendid; marvellous (marvelous); fantastic; superb​
きち, base (military, expedition, etc.)​
ちち, father




, to stand (up); to rise; to get to one's feet; to stand on end (e.g. of hairs); to stick up​

