濠太剌利; オーストラリア| Australia
印度; インド| Indie
韓国; かんこく| Korea północna
英吉利; イギリス| UK
印度尼西亜; インドネシア| Indonezja
亜剌比亜; アラビア| Arabia
新嘉坡; シンガポール| Singapor
独逸; ドイツ| Niemcy, Dojczland
伊太利; イタリア| Włochy, Italia
墨西哥;メキシコ| Meksyk
中国; ちゅうごく| Chiny
西班牙; スペイン| Hiszpania
チェコ| Czechia
台湾; たいわん| Taiwan
伯剌西爾; ブラジル| Brazylia
仏蘭西; フランス| Francja
波蘭; ポーランド| Polska

アメリカ| USA
オーストラリア| Australia
オーストリア| Austria
白ロシア; しろロシア| Białoruś
ブラジル| Brazylia
ブルガリア| Bułgaria
カナダ| Kanada
中国; ちゅうごく| Chiny
チェコ| Czechy
デンマーク| Dania
エジプト| Egipt
エストニア| Estonia
フィンランド| Finlandia
フランス| Francja
ドイツ| Niemcy
ギリシャ| Grecja
ハンガリー| Węgry
アイスランド| Islandia
インド| Indie
インドネシア| Indonezja
イタリア| Włochy
日本; にほん; にっぽん| Japonia
スペイン| Hiszpania
オランダ| Holandia
朝鮮; ちょうせん| Korea
韓国; かんこく| Korea Południowa
北朝鮮; きたちょうせん| Korea Północna
ラトビア| Łotwa
リトアニア| Litwa
ルクセンブルク| Luksemburg
マケドニア| Macedonia
マレーシア| Malezja
モルドバ| Mołdawia
モンゴル| Mongolia
ノルウェー| Norwegia
ポルトガル| Portugalia
ルーマニア| Rumunia
スロバキア| Słowacja
スロベニア| Słowenia
西蔵; チベット| Tybet
ウクライナ| Ukraina
スペイン| Hiszpania
スウェーデン| Szwecja
スイス| Szwajcaria
