零/〇; ぜろ／れい| 0
一/壱/弌/壹; いち| 1
二; に| 2
三/参; さん| 3
四/肆; よん／し／よ*| 4
五/伍; ご| 5
六/陸; ろく| 6
七/漆; なな／しち| 7
八/捌; はち| 8
九/玖; きゅう／く**| 9
十/拾; じゅう| 10

じゅう| dziesięć; 10
に じゅう| dwadzieścia; 20
さん じゅう| trzydzieści; 30
よん じゅう| czterdzieści; 40
ご じゅう| pięćdziesiąt; 50
ろく じゅう| sześćdziesiąt; 60
なな じゅう| siedemdziesiąt; 70
はち じゅう| osiemdziesiąt; 80
きゅう じゅう| dziewięćdziesiąt; 90
百; ひゃく| sto; 100​

いっさい| 1 rok (wiek)
はっさい| 8 lat (wiek)
じゅっさい| 10 lat (wiek)
じゅういっさい| 11 lat (wiek)
はたち| 20 lat (wiek)

いっさい| 1 rok (wiek)
にさい| 2 lata (wiek)
さんさい| 3 lata (wiek)
よんさい| 4 lata (wiek)
ごさい| 5 lat (wiek)
ろくさい| 6 lat (wiek)
ななさい| 7 lat (wiek)
はっさい| 8 lat (wiek)
きゅうさい| 9 lat (wiek)
じゅっさい| 10 lat (wiek)
はたち| 20 lat (wiek)

百; ひゃく| 100
二百; にひゃく| 200
三百; さんびゃく| 300
四百; よんひゃく| 400
五百; ごひゃく| 500
六百; ろっぴゃく| 600
七百; ななひゃく| 700
八百; はっぴゃく| 800
九百; きゅうひゃく| 900

千; せん| 1000
二千; にせん| 2000
三千; さんぜん| 3000
四千; よんせん| 4000
五千; ごせん| 5000
六千; ろくせん| 6000
七千; ななせん| 7000
八千; はっせん| 8000
九千; きゅうせん| 9000

一万; いちまん| 10000
二万; にまん| 20000
三万; さんまん| 30000
四万; よんまん| 40000
五万; ごまん| 50000
六万; ろくまん| 60000
七万; ななまん| 70000
八万; はちまん| 80000
九万; きゅうまん| 90000

いちがつ| styczeń
にがつ| luty
さんがつ| marzec
しがつ| kwiecień
ごがつ| maj
ろくがつ| czerwiec
しちがつ| lipiec
はちがつ| sierpień
くがつ| wrzesień
じゅうがつ| październik
じゅういちがつ| listopad
じゅうにがつ| grudzień

ついたち| pierwszy dzień miesiąca
ふつか| drugi dzień miesiaca
みっか| trzeci dzień miesiąca
よっか| czwarty dzień miesiaca
いつか| piąty dzień miesiaca
むいか| szósty dzień miesiąca
なのか| siódmy dzień miesiąca
ようか| ósmy dzień miesiąca
ここのか| dziewiąty dzień miesiaca
とおか| dziesiąty dzień miesiąca
じゅうよっか| czternasty dzień miesiąca
はつか| dwudziesty dzień miesiaca
にじゅうよっか| dwudziesty czwarty dzień miesiaca

いちじ| 1:00
にじ| 2:00
さんじ| 3:00
よじ| 4:00
ごじ| 5:00
ろくじ| 6:00
しちじ| 7:00
はちじ| 8:00
くじ| 9:00
じゅうじ| 10:00

ふん| minuta
いっぷん| 1 minuta
にふん| 2 minuty
さんぷん| 3 minuty
よんふん| 4 minuty
ごふん| 5 minut
ろっぷん| 6 minut
ななふん| 7 minut
はっぷん| 8 minut
きゅうふん| 9 minut
じゅっぷん| 10 minut
