月曜日; げつようび| poniedziałek (dzień Księżca)
月; げつ| poniedziałek (skrót)
月; つき| Księżyc
銀; ぎん| srebro

火曜日; かようび| wtorek (dzień ognia/Marsa)
火; か| wtorek (skrót); ogien (drugi żywioł z pięciu) 
火; ひ| ogien
火星; かせい| Mars

水曜日; すいようび| środa (dzień wody/Merkurego)
水; すい| środa (skrót); woda (trzeci żywioł z pięciu) 
水; みず| woda
水星; すいせい| Mercury

木曜日; もくようび| czwartek (dzień drzewa/Jowisza)
木; もく| czwartek (skrót); (czwarty żywioł z pięciu) 
木; き| drzewo
木星; もくせい| Jowisz

金曜日; きんようび| piątek (dzień metalu/Wenus)
金; きん| piątek (skrót); złoto (metal); złoto (kolor)
金星; きんせい| Wenus

土曜日; どようび| sobota (dzień gleby/Saturna)
土; ど| sobota (skrót); ziemia/gleba (piąty żywioł z pięciu) 
土; つち| ziemia; gleba
土星; どせい| Saturn

日曜日; にちようび| niedziela
日; にち| niedziela (skrót); licznik dni
日; ひ| dzień; słońce

朝; あさ| poranek
昼; ひる| południe
夕: ゆう| wieczór (wczesny)
晩; ばん| wieczór (późny)
朝 昼 晩; あさ ひる ばん| poranek, południe i wieczór, czyli cały dzień, ale poetycko

朝 御飯; あさ ごはん| śniadanie (poranny ryz)
朝 食; ちょう しょく| śniadanie (poranne jedzenie)
昼 御飯; ひる ごはん| obiad (południowy ryz)
昼 食; ちゅう しょく| obiad (południowe jedzenie)
夕 御飯; ゆう ごはん| kolacja wczesna (wczesny wieczorny ryz)
夕 食; ゆう しょく| kolacja wczesna (wczesne wieczorne jedzenie)
晩 御飯; ばん ごはん| kolacja (wieczorny ryz)
晩 食; ばん しょく| kolacja (wieczorne jedzenie)

一昨日; おととい| przedwczoraj
昨日; きのう| wczoraj
今日; きょう| dziś
明日; あした| jutro
明後日; あさって| pojutrze
毎 日; まい にち| codziennie

一昨日 の 朝; おととい の あさ| przedwczoraj rano
昨日 の 朝; きのう の あさ| wczoraj rano
今朝; けさ| dziś rano
明日 の 朝; あした の あさ| jutro rano
明後日 の 朝; あさって の あさ| pojutrze rano
毎 朝; まい あさ| co rano

一昨日 の 晩; おととい の ばん| przedwczoraj wieczorem
昨日 の 晩; きのう の ばん| wczoraj wieczorem
今晩; こんばん| dziś wieczorem
明日 の 晩; あした の ばん| jutro wieczorem
明後日 の 晩; あさって の ばん| pojutrze wieczorem
毎 晩; まい ばん| co wieczór

先々週; せんせん しゅう| tydzień przed poprzednim
先週; せん しゅう| poprzedni tydzień
今週; こん しゅう| ten tydzień
来週; らい しゅう| następny tydzień
再来週; さらい しゅう| tydzień po następnym
毎週; まい しゅう| kazdy tydzień

先々月; せんせん げつ| miesiąc przed poprzednim
先月; せん げつ| poprzedni miesiąc
今月; こん げつ| ten miesiąc
来月; らい げつ| następny miesiąc
再来月; さらい げつ| miesiąc po następnym
毎月; まい つき| kazdy miesiąc

一昨年; おと とし| rok przed poprzednim
去年; きょ ねん| poprzedni rok
今年; こ とし| ten rok
来年; らい ねん| następny rok
再来年; さらい ねん| rok po następnym
毎年; まい とし| kazdy rok

いま| teraz
じ| godzina

午前; ごぜん| rano; przed południem
午後; ごご| popołudnie; po południu
はん| pół godziny (30 minut)

