
家族; かぞく| rodzina 
祖父; そふ| (Humble) dziadek;
お祖父さん; おじいさん| (Honorific) dziadek;
祖母; そぼ| (Humble) babcia
お祖母さん; おばあさん| (Honorific) babcia

両親; りょうしん| rodzice
父; ちち| (Humble) tata
お父さん;おとうさん| (Honorific) ojciec;
母; はは| (Humble) mama
お母さん; おかあさん| (​Honorific) matka

子供; こども| dziecko
息子; むすこ| (Humble) syn
息子さん; むすこさん| (Honorific) syn
娘; むすめ| (Humble) córka
娘さん; むすめさん| (Honorific) córka

兄弟; きょうだい| rodzeństwo
兄; あに| (Humble) starszy brat
お兄さん; おにいさん| (Honorific) starszy brat
弟; おとうと| (Humble) młodszy brat
弟さん; おとうとさん| (Honorific) młodszy brat
姉; あね| (Humble) starsza siostra
お姉さん; おねえさん| (Honorific) starsza siostra
妹; いもうと| (Humble) młodsza siostra
妹さん; いもうとさん| (Honorific) młodsza siostra

夫; おっと| (Humble) mąż
主人; しゅじん| (archaic Humble husband) mąż
ご主人; ごしゅじん| (Honorific) twój mą
妻; つま| (Humble) żona
家内; かない| (archaic Humble wife) (moja) żona
奥さん; おくさん| (Honorific) żona; twoja żona; jego żona

孫; まご| (Humble) wnuczek/wnuczka
孫さん; まごさん| (Honorific) wnuczek/wnuczka

舅; しゅうと| (Humble) teść
義父; ぎふ| (Honorific) teść
姑; しゅうとめ| (Humble) teściowa
義母; ぎぼ| (Honorific) teściowa

婿; むこ| (Humble) pan młody; zięć
婿さん; むこさん| (Honorific) pan młody; zięć
嫁; よめ| (Humble) pani młoda; synowa
嫁さん; よめさん| (Honorific) pani młoda; synowa

叔母; おば| (Humble) ciocia
叔母さん; おばさん| (Honorific) ciotka
叔父; おじ| (Humble) wujek
叔父さん; おじさん| (Honorific) wuj
