学生; がくせい| uczeń
先生; せんせい| nauczyciel
医者; いしゃ| doktor
会社員; かいしゃいん| Pracownik firmy
窓; まど| okno
椅子; いす| krzesło, fotel
机; つくえ| biurko
車; くるま| samochód
時計; とけい| zegar
犬; いぬ| pies
猫; ねこ| kot
辞書; じしょ| słownik
電話; でんわ| telefon
本; ほん| książka
天気; てんき| pogoda
晴れ; はれ| czysta pogoda
曇り; くもり| chmury; pochmurnie
雨; あめ| deszcz; deszczowo
雪; ゆき| śnieg; śnienie
台風; たいふう| tajfun; huragan
風; かぜ| wiatr
嵐; あらし| sztorm
丘; おか| wzgórze
珈琲; コーヒー| kawa
テレビ| telewizor
人; ひと| osoba; ktoś
歌; うた| piosenka; śpiewanie
大学; だいがく| uniwersytet
鍵; かぎ| klucz
雑誌; ざっし| czasopismo
時; とき| czas; godzina; momemnt
時計; とけい| zegar; zegarek; czasomierz
銀行; ぎんこう| bank
カード| karta
病院; びょういん| szpital
テニス; てにす| tenis
野球; やきゅう| baseball
新聞; しんぶん| gazeta
鉛筆; えんぴつ| ołówek (drewniany) 
ぺん| długopis
番; ばん| liczba
フェンシング| szermierka
船乗り; ふなのり| marynarz
タクシー| taxi
郵便局; ゆうびんきょく| poczta
学校; がっこう| szkoła
図書館; としょかん| biblioteka
駅; えき| stacja pociągowa
八百屋; やおや| warzywniak
本屋; ほんや| księgarnia
寿司屋; すしや| susiarnia
お菓子屋; おかしや| sklep ze słodyczami
博物館; はくぶつかん| muzeum (historii?)
レストラン; れすとらん| restauracja
公園; こうえん| park​ (publiczny)
店; みせ| sklep; restauracja
コンビニ; こんびに| spożywczy wszystkomający
パン| chleb; pieczywo
鞦韆; ブランコ| huśtawka
アルバイト| praca dorywcza; praca tymczasowa; praca na pół etatu
アスピリン| aspiryna
ハンバーガー| hamburger
デート| randka
プチ ホテル| mały hotel; mały pensjonat
プチ デート| mała randka; małe spotkanie
白; しろ| biel
黒; くろ| czerń
赤; あか| czerwień
緑; みどり| zieleń
茶色; ちゃいろ| brą
青; あお| niebieski
紫; むらさき| fiolet
黄色; きいろ| żółć
灰色; はいいろ| szary
ピンク| róż
オレンジ| pomarańczowy
色; いろ| kolor
野菜; やさい| warzywa
ピーマン| papryka (zielona)
キャベツ| kapusta
ほうれん草; ほうれんそう| szpinak
小松菜; こまつな| komatsuna (japoński szpinak musztardowy)
ブロコリ| brokuły
葱; ねぎ| zielona cebulka
隠元; いんげん| fasolka szparagowa
アスパラガス| szparagi
胡瓜; きゅうり| ogórek
バナナ| banan
林檎; りんご| jabłko
年; ねん| rok; licznik dla lat
絵馬; えま| tabliczka wotywna
パソコン| komputer personalny
鞄; かばん| torba
ネクタイ| krawat
靴; くつ| buty
ワイン| wino
じゃが芋; じゃがいも| ziemniak
竜; りゅう| smok
財布; さいふ| portfel
けいたい| telefon komórkowy (mobilny)
薬局; やっきょく| apteka
映画館; えいがかん| kino
会社; かいしゃ| firma
事務所; じむしょ| biuro
受付; うけつけ| recepcja
教室; きょうしつ| sala lekcyjna
入り口; いりぐち| wejście
出口; でぐち| wyjście
トイレ| toaleta 
お手洗い; おてあらい| toaleta
部屋; へや| pokój
お金; おかね| pieniądze
家; うち| dom mieszkalny
家; いえ| dom rodzinny
メガネ| okulary
映画; えいが| film
傘; かさ| parapluie (parasol XD)
名刺; めいし| wizytówka
宿題; しゅくだい| praca domowa
ドリンク| drink
喫茶店; きっさてん| kawiarnia
カフェ| kawiarnia (zapożyczenie)
エレベーター| winda
たばこ| papierosy
会議室; かいぎしつ| sala konferencyjna
階段; かいだん| schody
エスカレーター| schody ruchome, eskalator
神社; じんじゃ| świątynia shinto
お寺; おてら| światynia (buddyjska)
食堂; しょくどう| jadalnia
誕生日; たんじょうび| dzień urodzenia
家具; かぐ| meble
会議; かいぎ| konferencja
授業; じゅぎょう| lekcje; zajęcia
にほんごの じゅぎょう| lekcje japońskiego
わたしたちの じゅぎょう| nasze lekcje (zajęcia)
休み; やすみ| wolne; odpoczynek
勉強; べんきょう| wiedza; nauka; studia
デパート| sklep towarowy
美術館; びじゅつかん| muzeum sztuki
和 菓子; わ がし| wagashi; tradycyjne japońskie wyroby cukiernicze
和 服; わ ふく| tradycyjne japońskie ubrania
和 食; わ しょく| tradycyjna japońska kuchnia
和 室; わしつ| tradycyjny japoński pokój
休日; きゅうじつ| dzień wolny
一日; いちにち| jeden dzień
⺟の日; はは の ひ| dzień mamy
父の日; ちち の ひ| dzień taty
月日; がっぴ| data (miesiąc i dzień)
意味; いみ| znaczenie
花火; はなび| sztuczne ognie
花; はな| kwiat
火事; かじ| pożar
事; こと| rzeczy
火山; かざん| wulkan
山; やま| góra
水道; すいどう| wodociągi
道; みち| droga; ścieka 
