an adhesion,przyczepność
Adhesion to the road = traction,Przyczepność do drogi = przyczepność
aluminum,aluminium
austria,Austria
a brick,cegła
chicken tenders,paluszki z kurczaka
Coming out of the woodwork,Wychodząc z stolarki
coming together,razem
commercial (businesses) vs. residential (houses),komercyjne (przedsiębiorstwa) a mieszkalne (domy)
February,luty
finished,gotowe
a forum,forum
getting done / becoming whole,zrobić / stać się całością
Good luck,powodzenia
grooves,rowki
Harmless,Nieszkodliwy
Hole in the Wall / Dive bar,Otwór w pasku ściennym / nurkowym
I'm afraid,boje się
ID card,dowód osobisty
insane,obłędny
insurance,ubezpieczenie
"issue - ""soft"" problem -- issues get ""resolved""",problem - „miękki” problem - problemy są „rozwiązywane”
January,styczeń 
Jewish,żydowski
kneading the dough,ugniatał ciasto
labor code,kodeks pracy
a layman,laik
left,lewica
Middle Ages,średniowiecze
monkeys flinging their feces,małpy oprzucające się kałem
mutually exclusive changes,wykluczające się zmiany
Necessity - necessary / needed,Konieczność - konieczne / potrzebne
Necessity - necessary / needed,Necessity - necessary / needed
a neighbor,sąsiad
a scrutiny,badanie
shy,nieśmiały
sily,sily
specific,konkretny
specific to this Reddit group,specyficzne dla tej grupy Reddit
Staffing - find staff,Personel - znajdź pracowników
steep,stromy
Steep (hill),Strome wzgórze)
stingy,skąpy
Stripped,Obnażony
surprise,zaskoczenie
surprised,zdziwiony
the cesspool has broken,szambo wybiło
timid,nieśmiały
Toll road - you pay a fee ($) every few miles,Droga płatna - opłata ($) uiszcza się co kilka mil
tram rails,tory tramwajowe
used,zużyty
vibrations,drgiania
vice versa,na odwrót
wandering,błądzący
whine,skąstwo
windshield washer fluid,płyn do spryskiwaczy
wrong,błędny
